d14,ad,day7,m1,m3,m6,m12,m18,m24,m60
1,2018-06-24,3.0,9.0,17.0,21.0,33.0,34.0,34.0,34.0
1,2018-06-24,-1.0,3.0,4.0,17.0,27.0,28.0,30.0,30.0
0,2018-06-24,6.0,16.0,25.0,34.0,49.0,50.0,50.0,50.0
0,2018-06-24,3.0,6.0,15.0,27.0,27.0,27.0,27.0,27.0
1,2018-06-24,-1.0,3.0,7.0,18.0,19.0,20.0,20.0,20.0
0,2018-06-24,5.0,28.0,51.0,60.0,63.0,63.0,63.0,63.0
0,2018-06-24,3.0,3.0,4.0,8.0,11.0,19.0,19.0,19.0
0,2018-06-24,-1.0,5.0,8.0,8.0,10.0,10.0,10.0,10.0
0,2018-06-24,4.0,4.0,11.0,15.0,67.0,85.0,85.0,85.0
0,2018-06-24,-1.0,8.0,30.0,37.0,51.0,62.0,63.0,68.0
0,2018-06-24,8.0,13.0,18.0,25.0,34.0,36.0,37.0,37.0
0,2018-06-24,-1.0,4.0,8.0,11.0,17.0,20.0,28.0,28.0
0,2018-06-24,3.0,4.0,14.0,19.0,34.0,40.0,40.0,40.0
0,2018-06-24,4.0,4.0,10.0,14.0,14.0,14.0,14.0,14.0
0,2018-06-24,-1.0,-1.0,5.0,6.0,33.0,33.0,34.0,35.0
0,2018-06-24,2.0,5.0,20.0,27.0,50.0,61.0,66.0,66.0
0,2018-06-24,-1.0,17.0,45.0,52.0,67.0,71.0,71.0,71.0
0,2018-06-24,5.0,9.0,13.0,22.0,120.0,124.0,124.0,124.0
0,2018-06-24,-1.0,4.0,6.0,22.0,37.0,39.0,43.0,43.0
1,2018-06-24,15.0,27.0,46.0,47.0,49.0,50.0,50.0,50.0
0,2018-06-24,-1.0,4.0,28.0,34.0,35.0,35.0,35.0,35.0
0,2018-06-24,16.0,33.0,40.0,52.0,55.0,55.0,55.0,55.0
0,2018-06-24,9.0,31.0,53.0,56.0,63.0,63.0,63.0,63.0
0,2018-06-24,5.0,17.0,26.0,50.0,76.0,76.0,76.0,76.0
0,2018-06-24,4.0,16.0,27.0,29.0,33.0,34.0,34.0,34.0
0,2018-06-24,2.0,5.0,25.0,27.0,56.0,70.0,71.0,71.0
0,2018-06-24,3.0,15.0,26.0,33.0,57.0,57.0,57.0,57.0
0,2018-06-24,-1.0,-1.0,-1.0,7.0,16.0,17.0,18.0,18.0
0,2018-06-24,2.0,5.0,15.0,22.0,22.0,23.0,23.0,23.0
0,2018-06-24,3.0,21.0,43.0,51.0,57.0,60.0,60.0,60.0
0,2018-06-24,3.0,5.0,15.0,21.0,87.0,96.0,104.0,108.0
0,2018-06-24,7.0,17.0,24.0,29.0,45.0,46.0,48.0,48.0
0,2018-06-24,8.0,15.0,19.0,33.0,43.0,44.0,44.0,44.0
0,2018-06-24,5.0,6.0,12.0,12.0,48.0,59.0,59.0,59.0
0,2018-06-24,7.0,17.0,40.0,47.0,65.0,91.0,91.0,91.0
0,2018-06-24,-1.0,2.0,9.0,13.0,15.0,15.0,15.0,15.0
1,2018-06-24,13.0,24.0,35.0,53.0,53.0,53.0,53.0,53.0
0,2018-06-24,2.0,13.0,25.0,28.0,36.0,36.0,36.0,36.0
0,2018-06-24,5.0,11.0,18.0,42.0,57.0,57.0,58.0,58.0
0,2018-06-24,4.0,17.0,19.0,23.0,27.0,28.0,28.0,28.0
0,2018-06-24,6.0,15.0,22.0,34.0,43.0,44.0,46.0,47.0
0,2018-06-24,6.0,24.0,36.0,43.0,47.0,48.0,50.0,50.0
0,2018-06-24,2.0,4.0,4.0,6.0,7.0,8.0,8.0,8.0
0,2018-06-24,7.0,18.0,44.0,44.0,44.0,46.0,46.0,46.0
0,2018-06-24,14.0,23.0,35.0,47.0,49.0,49.0,49.0,49.0
0,2018-06-24,3.0,14.0,18.0,22.0,39.0,42.0,44.0,44.0
0,2018-06-24,8.0,18.0,36.0,50.0,89.0,95.0,106.0,117.0
0,2018-06-24,2.0,3.0,13.0,15.0,38.0,38.0,38.0,38.0
0,2018-06-24,6.0,8.0,16.0,40.0,49.0,50.0,50.0,50.0
0,2018-06-24,4.0,19.0,54.0,64.0,81.0,92.0,92.0,94.0
0,2018-06-24,-1.0,8.0,9.0,17.0,22.0,38.0,38.0,38.0
0,2018-06-24,-1.0,20.0,42.0,46.0,59.0,61.0,61.0,61.0
0,2018-06-24,2.0,11.0,36.0,45.0,50.0,59.0,60.0,60.0
0,2018-06-24,-1.0,3.0,8.0,29.0,88.0,91.0,91.0,91.0
0,2018-06-24,2.0,4.0,9.0,12.0,24.0,27.0,27.0,27.0
0,2018-06-24,-1.0,30.0,55.0,69.0,69.0,69.0,69.0,69.0
0,2018-06-24,-1.0,7.0,33.0,34.0,47.0,47.0,49.0,49.0
0,2018-06-24,2.0,4.0,5.0,7.0,11.0,11.0,11.0,13.0
0,2018-06-24,7.0,11.0,24.0,49.0,75.0,80.0,80.0,80.0
0,2018-06-24,-1.0,6.0,16.0,22.0,24.0,34.0,35.0,35.0
0,2018-06-24,4.0,7.0,42.0,54.0,60.0,66.0,67.0,67.0
0,2018-06-24,3.0,6.0,6.0,23.0,27.0,34.0,38.0,38.0
0,2018-06-24,3.0,5.0,15.0,26.0,29.0,29.0,29.0,30.0
0,2018-06-24,2.0,7.0,15.0,27.0,55.0,64.0,69.0,69.0
0,2018-06-24,3.0,6.0,9.0,16.0,27.0,36.0,37.0,38.0
0,2018-06-24,-1.0,2.0,7.0,9.0,50.0,59.0,61.0,61.0
0,2018-06-24,4.0,14.0,27.0,31.0,49.0,61.0,68.0,68.0
0,2018-06-24,-1.0,3.0,4.0,10.0,32.0,38.0,42.0,42.0
0,2018-06-24,5.0,23.0,32.0,37.0,64.0,77.0,77.0,77.0
0,2018-06-24,4.0,9.0,9.0,11.0,13.0,13.0,13.0,13.0
0,2018-06-24,-1.0,3.0,10.0,21.0,29.0,29.0,29.0,29.0
0,2018-06-24,5.0,18.0,41.0,56.0,83.0,97.0,98.0,98.0
