d14,ad,day7,m1,m3,m6,m12,m18,m24,m60
0,2018-06-25,3.0,3.0,5.0,7.0,25.0,27.0,28.0,28.0
0,2018-06-25,-1.0,5.0,23.0,40.0,49.0,51.0,51.0,51.0
0,2018-06-25,-1.0,7.0,20.0,27.0,55.0,80.0,80.0,80.0
0,2018-06-25,-1.0,9.0,13.0,50.0,50.0,50.0,50.0,50.0
0,2018-06-25,-1.0,14.0,38.0,44.0,44.0,44.0,44.0,44.0
0,2018-06-25,4.0,13.0,32.0,37.0,69.0,78.0,78.0,78.0
0,2018-06-25,2.0,5.0,17.0,19.0,24.0,26.0,26.0,26.0
0,2018-06-25,-1.0,4.0,27.0,41.0,52.0,71.0,77.0,77.0
0,2018-06-25,2.0,6.0,10.0,11.0,36.0,43.0,47.0,47.0
0,2018-06-25,7.0,10.0,21.0,30.0,34.0,34.0,34.0,34.0
0,2018-06-25,2.0,2.0,3.0,13.0,23.0,26.0,26.0,27.0
0,2018-06-25,3.0,4.0,17.0,18.0,22.0,22.0,22.0,22.0
0,2018-06-25,-1.0,-1.0,12.0,27.0,53.0,70.0,71.0,71.0
0,2018-06-25,8.0,23.0,36.0,43.0,77.0,79.0,79.0,79.0
0,2018-06-25,-1.0,2.0,5.0,5.0,16.0,25.0,27.0,30.0
0,2018-06-25,6.0,24.0,58.0,72.0,102.0,160.0,168.0,168.0
0,2018-06-25,2.0,4.0,26.0,30.0,60.0,60.0,60.0,60.0
0,2018-06-25,5.0,14.0,16.0,27.0,32.0,32.0,32.0,33.0
0,2018-06-25,2.0,15.0,28.0,44.0,44.0,44.0,44.0,44.0
0,2018-06-25,-1.0,-1.0,-1.0,2.0,2.0,6.0,6.0,9.0
0,2018-06-25,-1.0,-1.0,-1.0,-1.0,9.0,9.0,9.0,9.0
0,2018-06-25,2.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0
0,2018-06-25,-1.0,3.0,17.0,17.0,17.0,17.0,17.0,17.0
0,2018-06-25,-1.0,9.0,19.0,23.0,24.0,28.0,28.0,28.0
0,2018-06-25,5.0,26.0,39.0,46.0,75.0,83.0,89.0,92.0
0,2018-06-25,2.0,2.0,17.0,20.0,27.0,30.0,31.0,31.0
0,2018-06-25,-1.0,9.0,9.0,21.0,44.0,44.0,44.0,44.0
0,2018-06-25,9.0,17.0,40.0,65.0,136.0,136.0,136.0,136.0
0,2018-06-25,-1.0,3.0,21.0,25.0,37.0,40.0,40.0,40.0
0,2018-06-25,-1.0,8.0,20.0,28.0,82.0,90.0,91.0,91.0
0,2018-06-25,5.0,8.0,20.0,22.0,55.0,91.0,104.0,106.0
0,2018-06-25,-1.0,10.0,19.0,26.0,28.0,28.0,29.0,29.0
0,2018-06-25,8.0,14.0,19.0,28.0,49.0,54.0,55.0,56.0
0,2018-06-25,7.0,11.0,19.0,35.0,92.0,123.0,128.0,128.0
0,2018-06-25,6.0,21.0,36.0,56.0,67.0,77.0,78.0,78.0
0,2018-06-25,-1.0,5.0,13.0,15.0,19.0,22.0,22.0,22.0
0,2018-06-25,7.0,24.0,29.0,33.0,82.0,88.0,88.0,88.0
0,2018-06-25,13.0,28.0,46.0,57.0,57.0,57.0,57.0,58.0
0,2018-06-25,2.0,12.0,21.0,38.0,119.0,126.0,128.0,128.0
0,2018-06-25,3.0,10.0,34.0,43.0,44.0,45.0,48.0,48.0
0,2018-06-25,10.0,18.0,29.0,38.0,48.0,51.0,52.0,53.0
0,2018-06-25,-1.0,8.0,35.0,52.0,59.0,59.0,59.0,59.0
0,2018-06-25,3.0,3.0,7.0,13.0,77.0,77.0,77.0,78.0
0,2018-06-25,5.0,6.0,13.0,23.0,45.0,49.0,50.0,51.0
0,2018-06-25,-1.0,-1.0,12.0,15.0,16.0,16.0,16.0,17.0
0,2018-06-25,-1.0,2.0,7.0,16.0,24.0,24.0,25.0,25.0
0,2018-06-25,-1.0,-1.0,4.0,13.0,17.0,17.0,17.0,17.0
0,2018-06-25,-1.0,-1.0,10.0,13.0,15.0,15.0,15.0,15.0
0,2018-06-25,2.0,2.0,3.0,4.0,16.0,28.0,35.0,35.0
0,2018-06-25,-1.0,4.0,7.0,8.0,9.0,14.0,14.0,14.0
0,2018-06-25,5.0,16.0,33.0,42.0,54.0,57.0,58.0,58.0
0,2018-06-25,2.0,7.0,29.0,45.0,60.0,60.0,60.0,60.0
0,2018-06-25,7.0,19.0,28.0,30.0,33.0,33.0,33.0,33.0
0,2018-06-25,2.0,5.0,9.0,14.0,28.0,28.0,29.0,29.0
0,2018-06-25,3.0,3.0,7.0,8.0,11.0,11.0,11.0,12.0
0,2018-06-25,9.0,15.0,42.0,42.0,58.0,58.0,58.0,58.0
0,2018-06-25,7.0,11.0,25.0,31.0,77.0,80.0,80.0,82.0
0,2018-06-25,4.0,6.0,22.0,31.0,50.0,62.0,67.0,69.0
0,2018-06-25,4.0,12.0,23.0,30.0,34.0,34.0,35.0,35.0
1,2018-06-25,5.0,10.0,24.0,31.0,52.0,57.0,58.0,60.0
0,2018-06-25,6.0,8.0,17.0,21.0,71.0,105.0,107.0,107.0
0,2018-06-25,2.0,5.0,15.0,22.0,28.0,28.0,28.0,28.0
0,2018-06-25,-1.0,4.0,8.0,18.0,54.0,66.0,70.0,70.0
0,2018-06-25,-1.0,-1.0,30.0,39.0,42.0,42.0,42.0,42.0
0,2018-06-25,2.0,26.0,39.0,39.0,68.0,68.0,68.0,69.0
0,2018-06-25,9.0,24.0,52.0,61.0,80.0,81.0,81.0,81.0
0,2018-06-25,-1.0,3.0,9.0,23.0,42.0,42.0,42.0,42.0
0,2018-06-25,-1.0,4.0,6.0,9.0,9.0,9.0,10.0,10.0
0,2018-06-25,3.0,5.0,25.0,51.0,94.0,99.0,99.0,99.0
0,2018-06-25,2.0,9.0,40.0,41.0,42.0,42.0,42.0,42.0
0,2018-06-25,-1.0,2.0,11.0,23.0,27.0,30.0,33.0,34.0
0,2018-06-25,6.0,9.0,23.0,32.0,62.0,70.0,75.0,75.0
0,2018-06-25,-1.0,2.0,6.0,8.0,21.0,23.0,23.0,23.0
0,2018-06-25,-1.0,4.0,8.0,14.0,20.0,20.0,20.0,20.0
0,2018-06-25,-1.0,2.0,5.0,5.0,7.0,8.0,8.0,8.0
0,2018-06-25,8.0,21.0,44.0,51.0,69.0,98.0,98.0,99.0
0,2018-06-25,2.0,4.0,6.0,16.0,41.0,41.0,43.0,43.0
0,2018-06-25,2.0,7.0,11.0,17.0,34.0,34.0,34.0,34.0
0,2018-06-25,2.0,10.0,13.0,20.0,94.0,107.0,107.0,108.0
0,2018-06-25,-1.0,3.0,23.0,48.0,51.0,51.0,52.0,52.0
0,2018-06-25,9.0,15.0,32.0,43.0,74.0,77.0,78.0,79.0
0,2018-06-25,2.0,4.0,11.0,16.0,22.0,23.0,23.0,23.0
0,2018-06-25,-1.0,4.0,15.0,16.0,21.0,21.0,21.0,21.0
0,2018-06-25,3.0,4.0,16.0,17.0,21.0,22.0,22.0,23.0
0,2018-06-25,2.0,8.0,23.0,28.0,87.0,101.0,101.0,101.0
0,2018-06-25,2.0,12.0,17.0,19.0,61.0,107.0,115.0,117.0
0,2018-06-25,-1.0,9.0,13.0,15.0,23.0,26.0,26.0,26.0
1,2018-06-25,2.0,6.0,11.0,49.0,51.0,51.0,51.0,51.0
0,2018-06-25,3.0,25.0,56.0,63.0,100.0,116.0,118.0,118.0
0,2018-06-25,-1.0,-1.0,3.0,17.0,33.0,33.0,33.0,33.0
1,2018-06-25,-1.0,3.0,12.0,20.0,31.0,38.0,42.0,42.0
0,2018-06-25,2.0,2.0,20.0,32.0,44.0,44.0,45.0,45.0
0,2018-06-25,8.0,34.0,51.0,63.0,70.0,78.0,79.0,79.0
0,2018-06-25,6.0,16.0,25.0,35.0,50.0,65.0,67.0,67.0
0,2018-06-25,9.0,16.0,32.0,36.0,50.0,50.0,50.0,50.0
0,2018-06-25,2.0,3.0,11.0,14.0,16.0,16.0,16.0,16.0
0,2018-06-25,3.0,3.0,6.0,19.0,24.0,27.0,28.0,29.0
0,2018-06-25,4.0,8.0,18.0,27.0,37.0,40.0,41.0,43.0
0,2018-06-25,-1.0,5.0,9.0,17.0,25.0,25.0,25.0,26.0
0,2018-06-25,-1.0,4.0,8.0,12.0,37.0,40.0,40.0,40.0
1,2018-06-25,3.0,12.0,18.0,26.0,32.0,38.0,38.0,38.0
0,2018-06-25,4.0,18.0,43.0,57.0,65.0,67.0,68.0,68.0
0,2018-06-25,2.0,12.0,29.0,33.0,39.0,40.0,41.0,42.0
0,2018-06-25,2.0,6.0,34.0,39.0,45.0,45.0,45.0,45.0
0,2018-06-25,8.0,15.0,38.0,56.0,66.0,66.0,66.0,66.0
0,2018-06-25,-1.0,-1.0,8.0,14.0,136.0,163.0,166.0,166.0
0,2018-06-25,12.0,17.0,36.0,43.0,45.0,46.0,46.0,46.0
0,2018-06-25,2.0,4.0,10.0,15.0,30.0,31.0,31.0,33.0
0,2018-06-25,-1.0,7.0,15.0,22.0,72.0,86.0,92.0,93.0
0,2018-06-25,9.0,15.0,25.0,43.0,68.0,72.0,72.0,72.0
0,2018-06-25,4.0,25.0,46.0,59.0,61.0,61.0,61.0,62.0
0,2018-06-25,-1.0,2.0,9.0,27.0,27.0,27.0,27.0,27.0
0,2018-06-25,-1.0,5.0,8.0,14.0,21.0,33.0,33.0,33.0
0,2018-06-25,3.0,7.0,10.0,14.0,19.0,20.0,22.0,22.0
0,2018-06-25,-1.0,3.0,11.0,13.0,19.0,19.0,19.0,19.0
0,2018-06-25,-1.0,-1.0,8.0,9.0,11.0,11.0,11.0,11.0
0,2018-06-25,4.0,6.0,14.0,21.0,33.0,43.0,46.0,46.0
0,2018-06-25,2.0,9.0,10.0,10.0,27.0,27.0,28.0,28.0
0,2018-06-25,2.0,7.0,17.0,18.0,25.0,25.0,25.0,25.0
0,2018-06-25,4.0,17.0,27.0,53.0,72.0,93.0,93.0,105.0
0,2018-06-25,5.0,12.0,39.0,50.0,55.0,56.0,56.0,56.0
0,2018-06-25,-1.0,4.0,23.0,30.0,35.0,36.0,36.0,36.0
0,2018-06-25,-1.0,4.0,11.0,42.0,51.0,51.0,51.0,52.0
0,2018-06-25,2.0,5.0,15.0,20.0,23.0,24.0,24.0,24.0
0,2018-06-25,2.0,5.0,12.0,21.0,46.0,51.0,51.0,51.0
0,2018-06-25,2.0,6.0,18.0,31.0,54.0,55.0,57.0,57.0
0,2018-06-25,13.0,26.0,44.0,64.0,67.0,71.0,71.0,72.0
0,2018-06-25,-1.0,8.0,36.0,42.0,45.0,47.0,48.0,50.0
0,2018-06-25,2.0,4.0,7.0,8.0,15.0,16.0,16.0,16.0
0,2018-06-25,-1.0,-1.0,8.0,39.0,59.0,62.0,62.0,62.0
0,2018-06-25,5.0,13.0,20.0,24.0,52.0,53.0,53.0,53.0
0,2018-06-25,5.0,19.0,33.0,37.0,59.0,60.0,60.0,60.0
0,2018-06-25,-1.0,7.0,18.0,23.0,56.0,64.0,64.0,64.0
0,2018-06-25,4.0,15.0,58.0,69.0,78.0,79.0,80.0,80.0
0,2018-06-25,-1.0,10.0,16.0,26.0,39.0,43.0,50.0,51.0
0,2018-06-25,-1.0,8.0,25.0,34.0,50.0,53.0,53.0,53.0
0,2018-06-25,3.0,9.0,32.0,33.0,35.0,35.0,35.0,35.0
0,2018-06-25,14.0,20.0,26.0,39.0,42.0,46.0,46.0,46.0
0,2018-06-25,13.0,35.0,71.0,93.0,97.0,97.0,97.0,97.0
0,2018-06-25,2.0,11.0,15.0,17.0,96.0,106.0,107.0,109.0
0,2018-06-25,9.0,19.0,29.0,36.0,110.0,121.0,122.0,122.0
0,2018-06-25,4.0,10.0,36.0,50.0,80.0,95.0,103.0,103.0
0,2018-06-25,-1.0,12.0,39.0,53.0,65.0,65.0,65.0,65.0
0,2018-06-25,3.0,22.0,38.0,38.0,44.0,48.0,48.0,48.0
0,2018-06-25,2.0,11.0,29.0,43.0,61.0,73.0,73.0,73.0
0,2018-06-25,-1.0,8.0,14.0,18.0,30.0,33.0,34.0,34.0
1,2018-06-25,-1.0,3.0,15.0,30.0,46.0,64.0,64.0,65.0
0,2018-06-25,-1.0,2.0,5.0,8.0,17.0,19.0,19.0,19.0
0,2018-06-25,2.0,4.0,36.0,53.0,90.0,92.0,92.0,92.0
0,2018-06-25,3.0,14.0,35.0,40.0,42.0,43.0,43.0,43.0
0,2018-06-25,2.0,22.0,58.0,69.0,72.0,73.0,73.0,73.0
1,2018-06-25,10.0,26.0,53.0,54.0,56.0,56.0,56.0,56.0
1,2018-06-25,3.0,31.0,41.0,46.0,52.0,57.0,57.0,57.0
0,2018-06-25,7.0,23.0,44.0,48.0,88.0,96.0,97.0,97.0
0,2018-06-25,-1.0,4.0,11.0,22.0,49.0,52.0,54.0,54.0
0,2018-06-25,2.0,7.0,18.0,28.0,68.0,88.0,90.0,98.0
0,2018-06-25,-1.0,11.0,20.0,36.0,38.0,38.0,38.0,38.0
0,2018-06-25,-1.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
0,2018-06-25,6.0,20.0,42.0,51.0,56.0,62.0,62.0,62.0
0,2018-06-25,9.0,13.0,21.0,27.0,58.0,65.0,69.0,69.0
0,2018-06-25,-1.0,7.0,42.0,43.0,43.0,43.0,43.0,43.0
0,2018-06-25,-1.0,9.0,19.0,28.0,33.0,33.0,33.0,33.0
1,2018-06-25,-1.0,4.0,26.0,51.0,78.0,85.0,86.0,86.0
0,2018-06-25,-1.0,7.0,47.0,55.0,56.0,56.0,56.0,56.0
0,2018-06-25,2.0,3.0,7.0,30.0,30.0,30.0,30.0,30.0
0,2018-06-25,2.0,27.0,43.0,60.0,68.0,70.0,74.0,74.0
0,2018-06-25,2.0,2.0,6.0,13.0,69.0,71.0,71.0,71.0
0,2018-06-25,2.0,28.0,65.0,76.0,94.0,96.0,96.0,96.0
0,2018-06-25,3.0,5.0,16.0,17.0,29.0,39.0,40.0,40.0
1,2018-06-25,-1.0,3.0,11.0,50.0,52.0,64.0,64.0,64.0
0,2018-06-25,-1.0,3.0,8.0,11.0,18.0,24.0,29.0,30.0
0,2018-06-25,-1.0,2.0,14.0,15.0,19.0,20.0,20.0,20.0
0,2018-06-25,5.0,16.0,33.0,50.0,54.0,56.0,57.0,57.0
0,2018-06-25,2.0,3.0,24.0,61.0,66.0,68.0,68.0,72.0
0,2018-06-25,-1.0,4.0,13.0,23.0,25.0,25.0,25.0,25.0
0,2018-06-25,4.0,8.0,13.0,20.0,31.0,49.0,49.0,49.0
0,2018-06-25,8.0,11.0,34.0,54.0,56.0,56.0,56.0,56.0
0,2018-06-25,-1.0,3.0,12.0,14.0,14.0,14.0,14.0,14.0
0,2018-06-25,2.0,12.0,36.0,45.0,47.0,47.0,47.0,47.0
0,2018-06-25,-1.0,3.0,8.0,8.0,8.0,8.0,8.0,9.0
0,2018-06-25,4.0,19.0,33.0,36.0,50.0,67.0,67.0,67.0
0,2018-06-25,2.0,5.0,28.0,44.0,60.0,77.0,81.0,81.0
0,2018-06-25,2.0,5.0,8.0,15.0,39.0,39.0,40.0,40.0
0,2018-06-25,4.0,20.0,29.0,34.0,82.0,82.0,82.0,82.0
0,2018-06-25,2.0,4.0,9.0,9.0,16.0,19.0,19.0,19.0
0,2018-06-25,2.0,2.0,8.0,13.0,23.0,61.0,61.0,61.0
0,2018-06-25,-1.0,4.0,31.0,34.0,36.0,37.0,37.0,37.0
0,2018-06-25,13.0,18.0,28.0,50.0,61.0,67.0,69.0,69.0
0,2018-06-25,-1.0,5.0,16.0,17.0,23.0,23.0,23.0,25.0
1,2018-06-25,-1.0,3.0,20.0,24.0,28.0,29.0,31.0,32.0
0,2018-06-25,-1.0,9.0,18.0,18.0,18.0,21.0,24.0,29.0
0,2018-06-25,2.0,2.0,6.0,7.0,24.0,27.0,27.0,27.0
0,2018-06-25,5.0,10.0,17.0,19.0,25.0,26.0,26.0,27.0
0,2018-06-25,-1.0,5.0,14.0,25.0,39.0,46.0,51.0,54.0
0,2018-06-25,6.0,14.0,48.0,52.0,52.0,53.0,54.0,54.0
0,2018-06-25,8.0,14.0,34.0,35.0,35.0,35.0,35.0,35.0
0,2018-06-25,-1.0,-1.0,12.0,12.0,12.0,12.0,12.0,12.0
0,2018-06-25,-1.0,3.0,6.0,17.0,51.0,52.0,53.0,56.0
0,2018-06-25,5.0,8.0,18.0,30.0,40.0,40.0,40.0,40.0
0,2018-06-25,-1.0,9.0,18.0,30.0,53.0,61.0,63.0,63.0
0,2018-06-25,-1.0,-1.0,23.0,32.0,32.0,33.0,33.0,33.0
0,2018-06-25,-1.0,-1.0,14.0,20.0,41.0,42.0,43.0,45.0
0,2018-06-25,-1.0,11.0,32.0,43.0,46.0,47.0,47.0,48.0
0,2018-06-25,2.0,4.0,9.0,21.0,41.0,46.0,49.0,49.0
0,2018-06-25,-1.0,10.0,18.0,23.0,25.0,25.0,26.0,26.0
0,2018-06-25,8.0,13.0,47.0,49.0,49.0,49.0,50.0,50.0
0,2018-06-25,2.0,7.0,15.0,31.0,35.0,38.0,38.0,39.0
0,2018-06-25,6.0,7.0,21.0,29.0,35.0,51.0,51.0,51.0
0,2018-06-25,-1.0,14.0,20.0,62.0,73.0,74.0,74.0,74.0
0,2018-06-25,4.0,9.0,17.0,24.0,30.0,30.0,30.0,31.0
1,2018-06-25,-1.0,2.0,12.0,20.0,31.0,42.0,42.0,42.0
0,2018-06-25,6.0,15.0,38.0,48.0,71.0,71.0,71.0,71.0
0,2018-06-25,6.0,12.0,24.0,31.0,48.0,50.0,50.0,50.0
0,2018-06-25,13.0,24.0,44.0,57.0,60.0,60.0,60.0,60.0
0,2018-06-25,-1.0,4.0,7.0,20.0,48.0,48.0,51.0,51.0
0,2018-06-25,-1.0,3.0,11.0,17.0,20.0,22.0,22.0,22.0
0,2018-06-25,-1.0,-1.0,6.0,10.0,18.0,23.0,23.0,23.0
0,2018-06-25,3.0,11.0,31.0,40.0,78.0,113.0,115.0,121.0
0,2018-06-25,-1.0,8.0,15.0,19.0,25.0,35.0,35.0,38.0
0,2018-06-25,6.0,10.0,35.0,53.0,57.0,59.0,59.0,59.0
0,2018-06-25,3.0,5.0,23.0,54.0,110.0,141.0,141.0,141.0
0,2018-06-25,5.0,7.0,22.0,26.0,32.0,35.0,35.0,35.0
0,2018-06-25,9.0,18.0,44.0,51.0,60.0,62.0,62.0,62.0
0,2018-06-25,-1.0,5.0,7.0,8.0,9.0,9.0,9.0,10.0
0,2018-06-25,7.0,13.0,22.0,23.0,26.0,27.0,27.0,27.0
0,2018-06-25,4.0,14.0,30.0,46.0,59.0,62.0,66.0,69.0
0,2018-06-25,2.0,9.0,21.0,37.0,57.0,58.0,58.0,58.0
0,2018-06-25,3.0,11.0,20.0,36.0,53.0,59.0,59.0,60.0
1,2018-06-25,7.0,22.0,37.0,46.0,59.0,59.0,59.0,59.0
0,2018-06-25,-1.0,3.0,13.0,21.0,48.0,52.0,52.0,52.0
0,2018-06-25,2.0,21.0,54.0,69.0,81.0,89.0,94.0,94.0
0,2018-06-25,10.0,23.0,35.0,54.0,78.0,94.0,99.0,99.0
0,2018-06-25,-1.0,6.0,15.0,24.0,60.0,64.0,66.0,68.0
0,2018-06-25,2.0,11.0,20.0,29.0,30.0,30.0,30.0,30.0
1,2018-06-25,2.0,4.0,29.0,37.0,44.0,44.0,44.0,44.0
1,2018-06-25,-1.0,2.0,20.0,21.0,41.0,44.0,45.0,45.0
0,2018-06-25,2.0,9.0,19.0,23.0,24.0,24.0,24.0,24.0
0,2018-06-25,3.0,3.0,4.0,4.0,26.0,28.0,32.0,33.0
0,2018-06-25,-1.0,-1.0,10.0,16.0,35.0,72.0,73.0,76.0
0,2018-06-25,18.0,32.0,54.0,71.0,126.0,144.0,146.0,153.0
0,2018-06-25,4.0,5.0,19.0,39.0,41.0,41.0,41.0,41.0
0,2018-06-25,6.0,8.0,36.0,48.0,55.0,61.0,61.0,62.0
0,2018-06-25,2.0,9.0,20.0,43.0,69.0,75.0,75.0,75.0
0,2018-06-25,5.0,18.0,30.0,58.0,70.0,74.0,78.0,82.0
0,2018-06-25,-1.0,2.0,16.0,30.0,33.0,35.0,35.0,35.0
0,2018-06-25,2.0,2.0,7.0,12.0,33.0,41.0,42.0,43.0
0,2018-06-25,8.0,9.0,21.0,29.0,35.0,35.0,35.0,35.0
0,2018-06-25,-1.0,11.0,40.0,51.0,58.0,60.0,60.0,60.0
0,2018-06-25,3.0,3.0,7.0,9.0,10.0,11.0,11.0,12.0
0,2018-06-25,-1.0,4.0,16.0,16.0,16.0,16.0,16.0,16.0
0,2018-06-25,-1.0,3.0,22.0,31.0,58.0,62.0,70.0,70.0
0,2018-06-25,3.0,9.0,15.0,21.0,36.0,47.0,47.0,47.0
0,2018-06-25,-1.0,-1.0,7.0,10.0,10.0,11.0,13.0,19.0
0,2018-06-25,2.0,3.0,13.0,21.0,33.0,35.0,36.0,36.0
0,2018-06-25,2.0,3.0,17.0,24.0,48.0,52.0,52.0,52.0
0,2018-06-25,-1.0,2.0,8.0,8.0,13.0,14.0,14.0,14.0
0,2018-06-25,-1.0,6.0,7.0,16.0,18.0,18.0,18.0,18.0
0,2018-06-25,-1.0,2.0,10.0,11.0,82.0,90.0,92.0,92.0
0,2018-06-25,4.0,10.0,30.0,47.0,57.0,58.0,61.0,61.0
0,2018-06-25,-1.0,2.0,5.0,16.0,20.0,23.0,23.0,23.0
0,2018-06-25,-1.0,5.0,13.0,31.0,44.0,44.0,44.0,44.0
0,2018-06-25,3.0,16.0,44.0,58.0,66.0,72.0,74.0,74.0
0,2018-06-25,2.0,4.0,14.0,15.0,19.0,22.0,22.0,22.0
0,2018-06-25,-1.0,7.0,16.0,18.0,26.0,27.0,27.0,28.0
0,2018-06-25,-1.0,2.0,8.0,10.0,59.0,72.0,72.0,72.0
0,2018-06-25,17.0,30.0,34.0,42.0,54.0,71.0,72.0,72.0
0,2018-06-25,-1.0,5.0,32.0,32.0,33.0,33.0,33.0,33.0
0,2018-06-25,3.0,9.0,17.0,21.0,44.0,54.0,58.0,59.0
0,2018-06-25,-1.0,8.0,14.0,25.0,25.0,25.0,25.0,25.0
0,2018-06-25,2.0,12.0,23.0,25.0,42.0,51.0,51.0,51.0
0,2018-06-25,3.0,9.0,14.0,21.0,42.0,52.0,52.0,60.0
0,2018-06-25,-1.0,2.0,4.0,14.0,47.0,47.0,47.0,47.0
0,2018-06-25,2.0,9.0,15.0,18.0,41.0,41.0,41.0,41.0
0,2018-06-25,4.0,9.0,14.0,24.0,53.0,53.0,55.0,58.0
0,2018-06-25,2.0,5.0,17.0,32.0,47.0,51.0,51.0,51.0
0,2018-06-25,3.0,4.0,6.0,10.0,27.0,27.0,27.0,27.0
0,2018-06-25,-1.0,7.0,20.0,22.0,38.0,38.0,38.0,38.0
0,2018-06-25,-1.0,3.0,20.0,30.0,32.0,32.0,32.0,32.0
0,2018-06-25,-1.0,3.0,10.0,16.0,18.0,21.0,21.0,21.0
0,2018-06-25,2.0,8.0,15.0,20.0,33.0,36.0,37.0,37.0
0,2018-06-25,3.0,5.0,7.0,13.0,23.0,25.0,25.0,27.0
1,2018-06-25,-1.0,19.0,59.0,66.0,72.0,72.0,72.0,72.0
0,2018-06-25,-1.0,-1.0,3.0,6.0,10.0,12.0,12.0,12.0
0,2018-06-25,-1.0,-1.0,-1.0,3.0,7.0,17.0,17.0,17.0
0,2018-06-25,-1.0,-1.0,7.0,10.0,10.0,10.0,11.0,11.0
0,2018-06-25,-1.0,2.0,32.0,39.0,44.0,44.0,44.0,44.0
0,2018-06-25,7.0,15.0,29.0,43.0,78.0,81.0,88.0,89.0
0,2018-06-25,2.0,10.0,44.0,50.0,52.0,52.0,52.0,52.0
0,2018-06-25,3.0,10.0,41.0,41.0,41.0,41.0,41.0,41.0
0,2018-06-25,5.0,11.0,29.0,46.0,49.0,50.0,50.0,52.0
0,2018-06-25,-1.0,-1.0,2.0,4.0,18.0,30.0,47.0,47.0
0,2018-06-25,3.0,4.0,49.0,65.0,96.0,96.0,96.0,97.0
0,2018-06-25,3.0,10.0,22.0,28.0,91.0,111.0,123.0,125.0
0,2018-06-25,11.0,20.0,28.0,37.0,51.0,59.0,61.0,66.0
0,2018-06-25,7.0,24.0,39.0,43.0,88.0,102.0,102.0,102.0
1,2018-06-25,-1.0,3.0,20.0,32.0,32.0,32.0,32.0,32.0
0,2018-06-25,4.0,5.0,11.0,23.0,25.0,25.0,25.0,26.0
0,2018-06-25,4.0,6.0,25.0,50.0,62.0,63.0,73.0,75.0
0,2018-06-25,-1.0,3.0,7.0,9.0,58.0,74.0,74.0,74.0
0,2018-06-25,-1.0,-1.0,8.0,14.0,27.0,28.0,28.0,28.0
0,2018-06-25,-1.0,-1.0,18.0,18.0,18.0,18.0,20.0,20.0
0,2018-06-25,5.0,10.0,22.0,23.0,85.0,99.0,103.0,103.0
0,2018-06-25,3.0,4.0,10.0,12.0,17.0,17.0,17.0,17.0
0,2018-06-25,3.0,7.0,12.0,20.0,35.0,38.0,38.0,38.0
0,2018-06-25,8.0,17.0,22.0,30.0,39.0,41.0,41.0,41.0
0,2018-06-25,2.0,12.0,39.0,58.0,59.0,61.0,61.0,61.0
0,2018-06-25,4.0,19.0,35.0,61.0,96.0,122.0,131.0,134.0
0,2018-06-25,2.0,16.0,37.0,49.0,55.0,56.0,56.0,56.0
0,2018-06-25,-1.0,3.0,8.0,12.0,13.0,13.0,13.0,13.0
0,2018-06-25,3.0,15.0,24.0,31.0,38.0,46.0,47.0,47.0
0,2018-06-25,2.0,13.0,20.0,27.0,29.0,31.0,31.0,31.0
0,2018-06-25,-1.0,5.0,14.0,15.0,22.0,22.0,22.0,22.0
0,2018-06-25,-1.0,3.0,19.0,24.0,81.0,97.0,99.0,100.0
0,2018-06-25,2.0,3.0,6.0,8.0,13.0,16.0,18.0,18.0
0,2018-06-25,3.0,7.0,15.0,17.0,20.0,32.0,46.0,47.0
0,2018-06-25,2.0,6.0,17.0,27.0,42.0,42.0,44.0,44.0
0,2018-06-25,-1.0,3.0,3.0,23.0,29.0,30.0,30.0,30.0
0,2018-06-25,-1.0,5.0,11.0,19.0,43.0,45.0,45.0,45.0
0,2018-06-25,-1.0,15.0,24.0,29.0,57.0,71.0,73.0,73.0
0,2018-06-25,5.0,6.0,35.0,43.0,60.0,66.0,66.0,66.0
0,2018-06-25,5.0,8.0,18.0,32.0,73.0,89.0,94.0,94.0
0,2018-06-25,-1.0,3.0,9.0,16.0,29.0,32.0,32.0,32.0
0,2018-06-25,4.0,22.0,42.0,51.0,71.0,71.0,71.0,71.0
0,2018-06-25,-1.0,-1.0,2.0,3.0,3.0,4.0,4.0,4.0
0,2018-06-25,2.0,5.0,16.0,24.0,80.0,87.0,87.0,87.0
0,2018-06-25,5.0,10.0,25.0,26.0,36.0,36.0,36.0,36.0
0,2018-06-25,2.0,10.0,49.0,60.0,62.0,64.0,65.0,66.0
1,2018-06-25,-1.0,5.0,26.0,39.0,81.0,83.0,83.0,84.0
0,2018-06-25,5.0,13.0,34.0,44.0,49.0,49.0,49.0,49.0
0,2018-06-25,4.0,8.0,30.0,38.0,46.0,46.0,46.0,46.0
0,2018-06-25,-1.0,3.0,19.0,33.0,36.0,36.0,36.0,36.0
0,2018-06-25,7.0,17.0,29.0,40.0,41.0,41.0,41.0,41.0
0,2018-06-25,6.0,14.0,39.0,40.0,40.0,40.0,40.0,42.0
0,2018-06-25,-1.0,15.0,18.0,20.0,28.0,29.0,29.0,30.0
0,2018-06-25,2.0,4.0,5.0,9.0,24.0,24.0,24.0,24.0
0,2018-06-25,2.0,12.0,31.0,40.0,48.0,63.0,69.0,69.0
